 |---------------------------------------------------------------------------------------|
 |   Beginning Balance |            Interest |           Principal |      Ending Balance |
 |---------------------------------------------------------------------------------------|
 |   1 |      20000.00 |              166.67 |              1638.50 |            18361.50 |
 |   2 |      18361.50 |              153.01 |              1652.15 |            16709.35 |
 |   3 |      16709.35 |              139.24 |              1665.92 |            15043.42 |
 |   4 |      15043.42 |              125.36 |              1679.80 |            13363.62 |
 |   5 |      13363.62 |              111.36 |              1693.80 |            11669.82 |
 |   6 |      11669.82 |               97.25 |              1707.92 |             9961.90 |
 |   7 |       9961.90 |               83.02 |              1722.15 |             8239.75 |
 |   8 |       8239.75 |               68.66 |              1736.50 |             6503.25 |
 |   9 |       6503.25 |               54.19 |              1750.97 |             4752.28 |
 |  10 |       4752.28 |               39.60 |              1765.56 |             2986.71 |
 |  11 |       2986.71 |               24.89 |              1780.28 |             1206.43 |
 |  12 |       1206.43 |               10.05 |              1795.11 |                   0 |
 |---------------------------------------------------------------------------------------|

Payment Every Month	$1805.17
Total 12 Payments	$21661.99
Total Interest	$1073.32
